,bins,Events/bin,bins_lower,Events
0,1000 - 1200,0.000152893060489,1000,0.0305786120978
1,1200 - 1400,0.0001327313382267,1200,0.026546267645340002
2,1400 - 1600,0.0001092093289207,1400,0.021841865784139998
3,1600 - 1800,7.896674552731213e-05,1600,0.015793349105462425
4,1800 - 2000,5.376459269944655e-05,1800,0.01075291853988931
5,2000 - 2200,3.36028704371541e-05,2000,0.0067205740874308195
6,2200 - 2400,2.184186578415016e-05,2200,0.004368373156830032
7,2400 - 2600,2.184186578415016e-05,2400,0.004368373156830032
8,2600 - 2800,1.0080861131146228e-05,2600,0.0020161722262292455
9,2800 - 3200,4.200358804644262e-06,2800,0.0016801435218577049
10,3200 - 3800,5.600478406192349e-07,3200,0.00033602870437154095
11,3800 - 5000,2.8002392030961746e-07,3800,0.00033602870437154095
