,bkg,erbkg,signal1,signal2,obs
0,1109.493,0.2,21.332,19.392,1082.8
1,1766.2359999999999,0.2,44.407999999999994,42.897999999999996,1772.32
2,1383.0942000000002,0.2,38.056,34.032000000000004,1378.0
3,975.4096000000001,0.2,28.766000000000002,27.401999999999997,996.4000000000001
4,627.6218,0.2,22.822,21.248,586.0
5,462.9194,0.2,17.5606,20.45,466.0
6,328.4905800000001,0.2,14.612,13.623199999999999,321.0
7,222.79846,0.2,10.3158,10.2072,222.00000000000003
8,147.25351999999995,0.2,6.0094,7.7264,148.0
9,140.96565,0.2,6.2028,8.190900000000001,150.0
10,98.475835,0.2,8.380500000000001,9.428,97.5
11,34.034319,0.2,6.402660000000001,6.28881,33.9163
