,bkg,errbkg,señal,obs
0,1593204.5021985283,44947.45192595299,0.0,1593204.5021985283
1,1213131.80248807,12180.898227935573,0.0,1213131.80248807
2,922179.3449290434,13857.175681674142,0.0,922179.3449290434
3,696502.8549085638,31292.214069249367,0.0,696502.8549085638
4,531735.1931383765,1047.7538942416602,0.0,531735.1931383765
5,401547.6573135648,7449.179919944357,0.0,401547.6573135648
6,305080.16901156935,9567.222780098431,0.0,305080.16901156935
7,231399.31874510893,11306.054786339428,0.0,231399.31874510893
8,172355.03007981376,5040.192186187256,0.0,172355.03007981376
9,134166.84532193502,6429.017457858123,0.0,134166.84532193502
10,99226.36389189208,548.4953591226699,0.0,99226.36389189208
11,76574.93337307639,406.5601578321733,0.0,76574.93337307639
12,57516.78514584406,698.7945992382943,0.0,57516.78514584406
13,42953.103980318105,616.7478145541724,0.0,42953.103980318105
14,32539.732142863013,645.5041273964757,0.0,32539.732142863013
15,24121.71801982322,1142.5323083106498,0.0,24121.71801982322
16,17981.84456955201,768.0175731150132,0.0,17981.84456955201
17,13383.215599832842,545.3841190474246,0.0,13383.215599832842
18,10065.461871109113,16.102866950300857,0.0,10065.461871109113
19,7306.413200433341,56.39185901808756,0.0,7306.413200433341
20,5426.957741115982,173.123162809039,0.0,5426.957741115982
21,4069.878431863048,157.66924730261638,0.0,4069.878431863048
22,2884.401046497589,10.26506131530179,0.0,2884.401046497589
23,2055.951233134104,89.57760592483609,0.0,2055.951233134104
24,1458.3179303812421,28.21999677511165,0.0,1458.3179303812421
25,1103.3125527902305,52.9892073794074,0.0,1103.3125527902305
26,802.5774642328356,1.4677410971660665,6.0,802.5774642328356
27,559.5441203220707,1.4043650874356057,882.0,559.5441203220707
28,368.9436575921191,8.806831868363188,112.0,368.9436575921191
29,254.98904321162388,6.523772390210834,0.0,254.98904321162388
30,156.01126868112488,6.460861674488203,0.0,156.01126868112488
31,113.00086357516504,0.03711675727897701,0.0,113.00086357516504
32,78.33625670138183,2.573092419695106,0.0,78.33625670138183
33,49.1164698404436,0.2011855435342242,0.0,49.1164698404436
34,33.10085075937486,0.07329706056970267,0.0,33.10085075937486
35,18.14145922862959,0.28911819091557817,0.0,18.14145922862959
36,8.064029002378778,0.1294825532573298,0.0,8.064029002378778
37,8.022238809356036,0.230819304920913,0.0,8.022238809356036
38,8.011901744572057,0.39231547148807633,0.0,8.011901744572057
39,0.0,0.0,0.0,0.0
40,3.019364374711203,0.14826398175277167,0.0,3.019364374711203
41,1.002020456370236,0.029935070828870137,0.0,1.002020456370236
